"Id","UserId","Avatar","Author","Content","Url","ReactionsCount","Depth","SubCommentsCount","CommentAt"
"Y29tbWVudDo4MTA1ODU3ODExMDIxOThfMTEzMTgxODE2MTUwMjE5OQ==","100068276101363","https://scontent.fhyd11-1.fna.fbcdn.net/v/t39.30808-1/418726694_686646306954567_6187552731561769459_n.jpg?stp=cp0_dst-jpg_p32x32&_nc_cat=102&ccb=1-7&_nc_sid=5f2048&_nc_ohc=fnMoFSOO-1kAb4Al9p2&_nc_ht=scontent.fhyd11-1.fna&oh=00_AfDnAwxnlSim47dohV6RXEwRKG5TcmYzyCBbsQ0snP8kRA&oe=661974B4","Eimantas Sabaliauskas","Nice :)","https://www.facebook.com/BMW/posts/pfbid02dfSLXKeSaikmXWQzKiCyfxiSwB8kHi66MNi3L4FLcpayQ9huMTq6zgvqZdVwPB7Dl?comment_id=1131818161502199","0","0","0","03/24/2024 05:47:37 PM"
"Y29tbWVudDo4MTA1ODU3ODExMDIxOThfNzcwOTQ0Nzg0OTg5MDMz","100001167116778","https://scontent.fhyd11-1.fna.fbcdn.net/v/t39.30808-1/423327189_6950025358379632_5201897204266600505_n.jpg?stp=cp0_dst-jpg_p32x32&_nc_cat=105&ccb=1-7&_nc_sid=5f2048&_nc_ohc=kD4_pshlPr0Ab7Xx23U&_nc_ht=scontent.fhyd11-1.fna&oh=00_AfDwnbFPPLHFIBRr7eFk7lX-EyiGA_Hr5gknykI6HK6Oog&oe=66198A6A","Claudio Dias","Dear BMW you need to fire your car designer, this is not what BMW users want, this is not EVEN a BMW this looks like a Peugeot with a BMW batch.","https://www.facebook.com/BMW/posts/pfbid02dfSLXKeSaikmXWQzKiCyfxiSwB8kHi66MNi3L4FLcpayQ9huMTq6zgvqZdVwPB7Dl?comment_id=770944784989033","1","0","1","03/24/2024 05:48:25 PM"
"Y29tbWVudDo4MTA1ODU3ODExMDIxOThfMTYwOTA4MzkwNjQ5MzIzOQ==","1835557034","https://scontent.fhyd11-1.fna.fbcdn.net/v/t39.30808-1/281819609_10217580327540112_6148603042764903525_n.jpg?stp=cp0_dst-jpg_p32x32&_nc_cat=111&ccb=1-7&_nc_sid=5f2048&_nc_ohc=uF_ASOtPZh4Ab6yfQDp&_nc_ht=scontent.fhyd11-1.fna&oh=00_AfA7RKv0mQlI5ThukQ0aBAnky_S85uOeQK4jZjJzi3zVVQ&oe=66198251","Ami Iss","🐽","https://www.facebook.com/BMW/posts/pfbid02dfSLXKeSaikmXWQzKiCyfxiSwB8kHi66MNi3L4FLcpayQ9huMTq6zgvqZdVwPB7Dl?comment_id=1609083906493239","1","0","0","03/24/2024 05:50:09 PM"
"Y29tbWVudDo4MTA1ODU3ODExMDIxOThfMzMxMDcwNDI2MTg5MzEz","100001419140263","https://scontent.fhyd11-3.fna.fbcdn.net/v/t39.30808-1/429651405_7360496894007542_7162441923692783963_n.jpg?stp=cp0_dst-jpg_p32x32&_nc_cat=107&ccb=1-7&_nc_sid=5f2048&_nc_ohc=1wVYLoePaG8Ab4tiASU&_nc_ht=scontent.fhyd11-3.fna&oh=00_AfApqPlkazrqlMU8iQlZPzbUSuEY23_AMo9Xown_3uyIrQ&oe=66196275","Thorsten Wagner","Ugly as hell! THE Antithesis to my Facelift #Z3","https://www.facebook.com/BMW/posts/pfbid02dfSLXKeSaikmXWQzKiCyfxiSwB8kHi66MNi3L4FLcpayQ9huMTq6zgvqZdVwPB7Dl?comment_id=331070426189313","1","0","0","03/24/2024 05:50:12 PM"
"Y29tbWVudDo4MTA1ODU3ODExMDIxOThfOTI5NDQyODA4NjgwNTIy","100088379987979","https://scontent.fhyd11-3.fna.fbcdn.net/v/t39.30808-1/428151960_361634966792500_4312155166991058107_n.jpg?stp=cp0_dst-jpg_p32x32&_nc_cat=108&ccb=1-7&_nc_sid=5f2048&_nc_ohc=hOgh9G92imAAb6CTivF&_nc_ht=scontent.fhyd11-3.fna&oh=00_AfBwBgmvF3B72Z4x6bj5HZE4kec5XCjxrN8knsBdWJ3mEA&oe=6619685E","لحن الحياة","BMW always surpasses a car freeze.😘😘😘😘","https://www.facebook.com/BMW/posts/pfbid02dfSLXKeSaikmXWQzKiCyfxiSwB8kHi66MNi3L4FLcpayQ9huMTq6zgvqZdVwPB7Dl?comment_id=929442808680522","1","0","0","03/24/2024 05:50:37 PM"
"Y29tbWVudDo4MTA1ODU3ODExMDIxOThfMzY1MzM5OTg0ODI3ODg4Ng==","100000696457172","https://scontent.fhyd11-3.fna.fbcdn.net/v/t1.18169-1/13729155_1228427163857154_6067239504843637924_n.jpg?stp=c1.0.32.32a_cp0_dst-jpg_p32x32&_nc_cat=107&ccb=1-7&_nc_sid=5f2048&_nc_ohc=TIbn_4y0eJsAb6ixSpn&_nc_ht=scontent.fhyd11-3.fna&oh=00_AfCkUCzqmIKmeMQc8uPaFfysDjCvtP6_85Q9BzHUmatiJA&oe=663B22AD","Darko Grujic","⚡❌","https://www.facebook.com/BMW/posts/pfbid02dfSLXKeSaikmXWQzKiCyfxiSwB8kHi66MNi3L4FLcpayQ9huMTq6zgvqZdVwPB7Dl?comment_id=3653399848278886","1","0","0","03/24/2024 05:51:10 PM"
"Y29tbWVudDo4MTA1ODU3ODExMDIxOThfMTYwNzg3MzI2NjczMTkzMg==","100004196586531","https://scontent.fhyd11-2.fna.fbcdn.net/v/t39.30808-1/392767826_2623803224436205_410822567835359351_n.jpg?stp=cp0_dst-jpg_p32x32&_nc_cat=104&ccb=1-7&_nc_sid=5f2048&_nc_ohc=26s6EPVXJPIAb5JivtQ&_nc_ht=scontent.fhyd11-2.fna&oh=00_AfCF5WOQ-854xnbVCEtib270XJT0WcUbsipdGa258Kggzg&oe=66196075","Mohsan Elagouri","Please go back to previous designs♥️","https://www.facebook.com/BMW/posts/pfbid02dfSLXKeSaikmXWQzKiCyfxiSwB8kHi66MNi3L4FLcpayQ9huMTq6zgvqZdVwPB7Dl?comment_id=1607873266731932","8","0","0","03/24/2024 05:52:20 PM"
"Y29tbWVudDo4MTA1ODU3ODExMDIxOThfMzM1MzgwMDY5MDI5NjU1","100078056300455","https://scontent.fhyd11-1.fna.fbcdn.net/v/t39.30808-1/432380570_408809095064297_1383377791695950776_n.jpg?stp=cp0_dst-jpg_p32x32&_nc_cat=105&ccb=1-7&_nc_sid=5f2048&_nc_ohc=GiDxRwsW8igAb6r4wqj&_nc_ht=scontent.fhyd11-1.fna&oh=00_AfASUArUFmJ5hRZH-SeaDpbg5EKEpIry3QNilXQcC1phoQ&oe=66196945","林庭煜","This is a new design plus elements from the past, a bold innovation!  Although people may not be used to it now, they will eventually fall in love with it","https://www.facebook.com/BMW/posts/pfbid02dfSLXKeSaikmXWQzKiCyfxiSwB8kHi66MNi3L4FLcpayQ9huMTq6zgvqZdVwPB7Dl?comment_id=335380069029655","55","0","12","03/24/2024 05:52:34 PM"
"Y29tbWVudDo4MTA1ODU3ODExMDIxOThfMTQ1NjAxNTI0ODM0NTc4MA==","100041483583198","https://scontent.fhyd11-1.fna.fbcdn.net/v/t39.30808-1/358632190_1151401726252603_148252476330748748_n.jpg?stp=cp0_dst-jpg_p32x32&_nc_cat=110&ccb=1-7&_nc_sid=5f2048&_nc_ohc=mXTbUDCLkK8Ab5W8Jnn&_nc_ht=scontent.fhyd11-1.fna&oh=00_AfDjkifqM5Ch-8BDkc2kpaRJFmNK5-SCNG63dj4wLEZM8g&oe=66195B50","Serega Slon","Уродство","https://www.facebook.com/BMW/posts/pfbid02dfSLXKeSaikmXWQzKiCyfxiSwB8kHi66MNi3L4FLcpayQ9huMTq6zgvqZdVwPB7Dl?comment_id=1456015248345780","0","0","0","03/24/2024 05:52:52 PM"
"Y29tbWVudDo4MTA1ODU3ODExMDIxOThfNzkxNjE1MDkyODMxNDQw","538151250","https://scontent.fhyd11-1.fna.fbcdn.net/v/t1.6435-1/96749653_10158047206031251_7350651555747463168_n.jpg?stp=cp0_dst-jpg_p32x32&_nc_cat=110&ccb=1-7&_nc_sid=5f2048&_nc_ohc=R00HteR87oYAb6jRJah&_nc_ht=scontent.fhyd11-1.fna&oh=00_AfCwGnhvkBsH6Q4OBAJuCa44nHQHxUgPy-95xwHUGADQ6w&oe=663B0ADC","Wesley Wan","Omg, what have you done that shxx 🤦🏻‍♂️is like that face😩","https://www.facebook.com/BMW/posts/pfbid02dfSLXKeSaikmXWQzKiCyfxiSwB8kHi66MNi3L4FLcpayQ9huMTq6zgvqZdVwPB7Dl?comment_id=791615092831440","1","0","0","03/24/2024 05:53:19 PM"
